tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1053,12:15.2,29:48.6,4036,Motorgate,40.7639089,-73.9477213,2022,E 60 St & York Ave,40.759107,-73.959223,37334,Customer,1970,0
642,49:17.4,00:00.3,127,Barrow St & Hudson St,40.73172428,-74.00674436,474,5 Ave & E 29 St,40.7451677,-73.98683077,48079,Customer,1970,0
1082,10:02.4,28:04.9,474,5 Ave & E 29 St,40.7451677,-73.98683077,4235,W 50 St & 10 Ave,40.7647342,-73.9919436,48079,Customer,1970,0
349,26:42.4,32:31.9,4235,W 50 St & 10 Ave,40.7647342,-73.9919436,500,Broadway & W 51 St,40.76228826,-73.98336183,48079,Customer,1970,0
356,32:30.1,38:26.5,2022,E 60 St & York Ave,40.759107,-73.959223,3462,E 44 St & 2 Ave,40.75118387,-73.97138715,37334,Customer,1970,0
2012,34:29.4,08:01.9,3462,E 44 St & 2 Ave,40.75118387,-73.97138715,393,E 5 St & Avenue C,40.72299208,-73.97995466,37334,Customer,1970,0
958,39:39.6,55:38.0,393,E 5 St & Avenue C,40.72299208,-73.97995466,386,Centre St & Worth St,40.71494807,-74.00234482,37334,Customer,1970,0
721,16:00.5,28:02.4,500,Broadway & W 51 St,40.76228826,-73.98336183,3894,8 Ave & W 16 St,40.740983,-74.001702,48079,Customer,1970,0
136,11:59.1,14:15.7,3894,8 Ave & W 16 St,40.740983,-74.001702,334,W 20 St & 7 Ave,40.74238787,-73.99726235,48079,Customer,1970,0
752,38:13.6,50:45.7,386,Centre St & Worth St,40.71494807,-74.00234482,150,E 2 St & Avenue C,40.7208736,-73.98085795,37334,Customer,1970,0
22972,19:44.0,42:36.9,334,W 20 St & 7 Ave,40.74238787,-73.99726235,334,W 20 St & 7 Ave,40.74238787,-73.99726235,48079,Customer,1970,0
433,30:02.3,37:15.9,150,E 2 St & Avenue C,40.7208736,-73.98085795,268,Howard St & Centre St,40.71910537,-73.99973337,37334,Customer,1970,0
509,39:31.7,48:00.8,268,Howard St & Centre St,40.71910537,-73.99973337,3708,W 13 St & 5 Ave,40.735445,-73.99431,37334,Customer,1970,0
345,29:10.4,34:56.3,3708,W 13 St & 5 Ave,40.735445,-73.99431,303,Mercer St & Spring St,40.72362738,-73.99949601,37334,Customer,1970,0
164,07:09.6,09:54.2,334,W 20 St & 7 Ave,40.74238787,-73.99726235,442,W 27 St & 7 Ave,40.746647,-73.993915,48079,Customer,1970,0
182,14:46.4,17:49.2,442,W 27 St & 7 Ave,40.746647,-73.993915,168,W 18 St & 6 Ave,40.73971301,-73.99456405,48079,Customer,1970,0
1892,16:01.1,47:34.1,303,Mercer St & Spring St,40.72362738,-73.99949601,303,Mercer St & Spring St,40.72362738,-73.99949601,37334,Customer,1970,0
459,21:36.6,29:15.9,168,W 18 St & 6 Ave,40.73971301,-73.99456405,3635,W 36 St & 9 Ave,40.75462324,-73.99516761,48079,Customer,1970,0
289,02:24.7,07:14.6,303,Mercer St & Spring St,40.72362738,-73.99949601,3263,Cooper Square & Astor Pl,40.72951496,-73.9907527,37334,Customer,1970,0
667,21:13.0,32:20.6,3263,Cooper Square & Astor Pl,40.72951496,-73.9907527,3235,E 41 St & Madison Ave,40.75216528,-73.97992194,37334,Customer,1970,0
487,45:08.1,53:15.7,3235,E 41 St & Madison Ave,40.75216528,-73.97992194,497,E 17 St & Broadway,40.73704984,-73.99009296,37334,Subscriber,1977,1
592,47:27.1,57:19.4,3635,W 36 St & 9 Ave,40.75462324,-73.99516761,447,8 Ave & W 52 St,40.76370739,-73.9851615,48079,Customer,1970,0
1890,59:30.4,31:01.3,447,8 Ave & W 52 St,40.76370739,-73.9851615,447,8 Ave & W 52 St,40.76370739,-73.9851615,48079,Customer,1970,0
279,07:11.8,11:50.9,497,E 17 St & Broadway,40.73704984,-73.99009296,2003,1 Ave & E 18 St,40.73381219,-73.98054421,37334,Customer,1970,0
204,13:54.2,17:18.6,2003,1 Ave & E 18 St,40.73381219,-73.98054421,297,E 15 St & 3 Ave,40.734232,-73.986923,37334,Subscriber,1995,1
207,21:52.7,25:20.0,297,E 15 St & 3 Ave,40.734232,-73.986923,2003,1 Ave & E 18 St,40.73381219,-73.98054421,37334,Subscriber,1995,1
271,29:15.8,33:47.6,2003,1 Ave & E 18 St,40.73381219,-73.98054421,540,Lexington Ave & E 29 St,40.74311555,-73.98215353,37334,Customer,1970,0
201,52:12.8,55:34.2,540,Lexington Ave & E 29 St,40.74311555,-73.98215353,536,1 Ave & E 30 St,40.74144387,-73.97536082,37334,Customer,1970,0
103,49:44.8,51:28.7,447,8 Ave & W 52 St,40.76370739,-73.9851615,447,8 Ave & W 52 St,40.76370739,-73.9851615,48079,Customer,1970,0
145,54:36.5,57:01.5,536,1 Ave & E 30 St,40.74144387,-73.97536082,4121,1 Ave & E 39 St,40.74714,-73.97113,37334,Customer,1970,0
292,14:27.3,19:19.8,4121,1 Ave & E 39 St,40.74714,-73.97113,507,E 25 St & 2 Ave,40.73912601,-73.97973776,37334,Customer,1970,0
708,27:30.4,39:19.1,447,8 Ave & W 52 St,40.76370739,-73.9851615,540,Lexington Ave & E 29 St,40.74311555,-73.98215353,48079,Customer,1970,0
388,31:36.4,38:04.8,507,E 25 St & 2 Ave,40.73912601,-73.97973776,439,E 4 St & 2 Ave,40.7262807,-73.98978041,37334,Customer,1970,0
261,42:40.5,47:02.2,540,Lexington Ave & E 29 St,40.74311555,-73.98215353,476,E 31 St & 3 Ave,40.74394314,-73.97966069,48079,Customer,1970,0
604,54:56.9,05:01.4,476,E 31 St & 3 Ave,40.74394314,-73.97966069,477,W 41 St & 8 Ave,40.75640548,-73.9900262,48079,Customer,1970,0
1127,41:12.0,59:59.3,477,W 41 St & 8 Ave,40.75640548,-73.9900262,3376,E 65 St & 2 Ave,40.76471852,-73.9622207,48079,Customer,1970,0
300,07:21.6,12:22.6,439,E 4 St & 2 Ave,40.7262807,-73.98978041,368,Carmine St & 6 Ave,40.73038599,-74.00214988,37334,Customer,1970,0
559,16:15.4,25:35.3,3376,E 65 St & 2 Ave,40.76471852,-73.9622207,3165,Central Park West & W 72 St,40.77579377,-73.97620574,48079,Customer,1970,0
224,50:10.1,53:54.8,3165,Central Park West & W 72 St,40.77579377,-73.97620574,3167,Amsterdam Ave & W 73 St,40.77966809,-73.98093045,48079,Customer,1970,0
